Symbol,Headquarter,Date Added,Founding Year
HES,"New York City, New York",1984-05-31,1919
HPE,"Houston, Texas",2015-11-02,2015
HLT,"Tysons Corner, Virginia",2017-06-19,1919
HOLX,"Marlborough, Massachusetts",2016-03-30,1985
HD,"Atlanta, Georgia",1988-03-31,1978
HON,"Charlotte, North Carolina",1964-03-31,1906
HRL,"Austin, Minnesota",2009-03-04,1891
HST,"Bethesda, Maryland",2007-03-20,1993
HWM,"Pittsburgh, Pennsylvania",1964-03-31,2016
HPQ,"Palo Alto, California",1974-12-31,1939
HUM,"Louisville, Kentucky",,1961
HBAN,"Columbus, Ohio; Detroit, Michigan",,1866
HII,"Newport News, Virginia",2018-01-03,2011
IEX,"Lake Forest, Illinois",2019-08-09,1988
IDXX,"Westbrook, Maine",2017-01-05,1983
INFO,"London, England",2017-06-02,1959
ITW,"Glenview, Illinois",1986-02-28,1912
ILMN,"San Diego, California",2015-11-19,1998
INCY,"Wilmington, Delaware",2017-02-28,1991
IR,"Milwaukee, Wisconsin",2020-03-03,1859
INTC,"Santa Clara, California",1976-12-31,1968
ICE,"Atlanta, Georgia",2007-09-26,2000
IBM,"Armonk, New York",1957-03-04,1911
IP,"Memphis, Tennessee",1957-03-04,1898
IPG,"New York City, New York",1992-10-01,1930
IFF,"New York City, New York",1976-03-31,1958
INTU,"Mountain View, California",2000-12-05,1983
ISRG,"Sunnyvale, California",2008-06-02,1995
IVZ,"Atlanta, Georgia",2008-08-21,1935
IPGP,"Oxford, Massachusetts",2018-03-07,1990
IQV,"Durham, North Carolina",2017-08-29,1982
IRM,"Boston, Massachusetts",2009-01-06,1951
JKHY,"Monett, Missouri",2018-11-13,1976
J,"Dallas, Texas",2007-10-26,1947
JBHT,"Lowell, Arkansas",2015-07-01,1961
SJM,"Orrville, Ohio",2008-11-06,1897
JNJ,"New Brunswick, New Jersey",1973-06-30,1886
JCI,"Cork, Ireland",2010-08-27,1885
JPM,"New York City, New York",1975-06-30,2000
JNPR,"Sunnyvale, California",2006-06-02,1996
KSU,"Kansas City, Missouri",2013-05-24,1887
K,"Battle Creek, Michigan",1989-09-11,1906
KEY,"Cleveland, Ohio",1994-03-01,1825
KEYS,"Santa Rosa, California",2018-11-06,2014
KMB,"Irving, Texas",1957-03-04,1872
KIM,"New Hyde Park, New York",2006-04-04,1958
KMI,"Houston, Texas",2012-05-25,1997
KLAC,"Milpitas, California",,1997
KHC,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,2015
KR,"Cincinnati, Ohio",1957-03-04,1883
LHX,"Melbourne, Florida",2008-09-22,2019
LH,"Burlington, North Carolina",2004-11-01,1978
LRCX,"Fremont, California",2012-06-29,1980
LW,"Eagle, Idaho",2018-12-03,1950
LVS,"Las Vegas, Nevada",2019-10-03,1988
LEG,"Carthage, Missouri",1999-10-14,1883
LDOS,"Reston, Virginia",2019-08-09,1969
LEN,"Miami, Florida",2005-10-04,1954
LLY,"Indianapolis, Indiana",1970-12-31,1876
LNC,"Radnor, Pennsylvania",1976-06-30,1905
LIN,"Guildford, England",1992-07-01,1879
LYV,"Beverly Hills, California",2019-12-23,2010
LKQ,"Chicago, Illinois",2016-05-23,1998
LMT,"Bethesda, Maryland",1984-07-31,1995
L,"New York City, New York",,1959
LOW,"Mooresville, North Carolina",1984-02-29,1921
LUMN,"Monroe, Louisiana",1999-03-25,1968
LYB,"Rotterdam, Netherlands",2012-09-05,2007
MTB,"Buffalo, New York",2004-02-23,1856
MRO,"Houston, Texas",1991-05-01,1887
MPC,"Findlay, Ohio",2011-07-01,2009
MKTX,"New York City, New York",2019-07-01,2000
MAR,"Bethesda, Maryland",,1927
MMC,"New York City, New York",1987-08-31,1905
MLM,"Raleigh, North Carolina",2014-07-02,1993
MAS,"Livonia, Michigan",1981-06-30,1929
MA,"Harrison, New York",2008-07-18,1966
MKC,"Hunt Valley, Maryland",2003-03-20,1889
MCD,"Chicago, Illinois",1970-06-30,1940
MCK,"Irving, Texas",,1833
MDT,"Dublin, Ireland",1986-10-31,1949
MRK,"Kenilworth, New Jersey",1957-03-04,1891
MET,"New York City, New York",,1868
MTD,"Columbus, Ohio",2016-09-06,1945
MGM,"Paradise, Nevada",2017-07-26,1986
MCHP,"Chandler, Arizona",2007-09-07,1989
MU,"Boise, Idaho",1994-09-27,1978
MSFT,"Redmond, Washington",1994-06-01,1975
MAA,"Memphis, Tennessee",2016-12-02,1977
MRNA,"Cambridge, Massachusetts",2021-07-21,2010
MHK,"Calhoun, Georgia",2013-12-23,1878
TAP,"Chicago, Illinois",1976-06-30,2005
MDLZ,"Chicago, Illinois",2012-10-02,2012
MPWR,"Kirkland, Washington",2021-02-12,1997
MNST,"Corona, California",2012-06-28,1935
MCO,"New York City, New York",,1909
MS,"New York City, New York",,1935
MOS,"Tampa, Florida",2011-09-26,2004
MSI,"Chicago, Illinois",,2011
MSCI,"New York City, New York",2018-04-04,1969
NDAQ,"New York City, New York",2008-10-22,1971
NTAP,"Sunnyvale, California",1999-06-25,1992
NFLX,"Los Gatos, California",2010-12-20,1997
NWL,"Atlanta, Georgia",1989-04-30,1903
NEM,"Denver, Colorado",1969-06-30,1921
NWSA,"New York City, New York",2013-08-01,2013
NWS,"New York City, New York",2015-09-18,2013
NEE,"Juno Beach, Florida",1976-06-30,1984
NLSN,"New York City, New York",2013-07-09,1923
