Symbol,EPS
CPRT,"{'2021': 2.83, '2020': 2.93, '2019': 2.46}"
CRL,"{'2021': 2.93, '2020': 7.2, '2019': 5.07}"
CRM,"{'2021': 4.38, '2020': 0.15, '2019': 0.59}"
CSCO,"{'2021': 2.5, '2020': 2.64, '2019': 2.61}"
CSX,"{'2021': 0.82, '2020': 1.2, '2019': 1.39}"
CTAS,"{'2021': 10.24, '2020': 8.11, '2019': 7.99}"
CTLT,"{'2021': 3.11, '2020': 1.14, '2019': 0.9}"
CTSH,"{'2021': 1.92, '2020': 2.57, '2019': 3.29}"
CTVA,"{'2021': 2.11, '2020': 0.91, '2019': 1.28}"
CTXS,"{'2021': 1.21, '2020': 4.0, '2019': 5.03}"
CVS,"{'2021': 3.78, '2020': 5.46, '2019': 5.08}"
CVX,"{'2021': 2.32, '2020': 2.96, '2019': 1.54}"
CZR,"{'2021': 1.68, '2020': 13.5, '2019': 1.03}"
D,"{'2021': 1.56, '2020': 0.57, '2019': 1.62}"
DAL,"{'2021': 0.82, '2020': 19.49, '2019': 7.3}"
DD,"{'2021': 10.33, '2020': 4.01, '2019': 0.67}"
DE,"{'2021': 14.86, '2020': 8.69, '2019': 10.15}"
DFS,"{'2021': 10.59, '2020': 3.6, '2019': 9.08}"
DG,"{'2021': 10.62, '2020': 6.64, '2019': 3.09}"
DGX,"{'2021': 8.38, '2020': 10.47, '2019': 6.28}"
DHI,"{'2021': 7.73, '2020': 6.41, '2019': 4.29}"
DHR,"{'2021': 4.68, '2020': 4.89, '2019': 4.05}"
DIS,"{'2021': 1.0, '2020': 1.58, '2019': 6.64}"
DISCA,"{'2021': 1.22, '2020': 1.81, '2019': 2.88}"
DISCK,"{'2021': 1.22, '2020': 1.81, '2019': 2.88}"
DISH,"{'2021': 2.05, '2020': 3.02, '2019': 2.6}"
DLR,"{'2021': 1.77, '2020': 1.0, '2019': 2.35}"
DLTR,"{'2021': 5.65, '2020': 3.47, '2019': 8.51}"
DOV,"{'2021': 3.43, '2020': 4.7, '2019': 4.61}"
DOW,"{'2021': 3.83, '2020': 1.64, '2019': 2.68}"
DPZ,"{'2021': 6.06, '2020': 12.39, '2019': 9.56}"
DRE,"{'2021': 0.68, '2020': 0.8, '2019': 1.18}"
DRI,"{'2021': 4.77, '2020': 0.43, '2019': 5.69}"
DTE,"{'2021': 2.97, '2020': 7.08, '2019': 6.31}"
DUK,"{'2021': 2.21, '2020': 1.72, '2019': 5.06}"
DVA,"{'2021': 4.72, '2020': 6.31, '2019': 5.27}"
DVN,"{'2021': 0.7, '2020': 7.12, '2019': 0.89}"
DXC,"{'2021': 0.59, '2020': 20.76, '2019': 3.57}"
